przystanek;nr_przystanku;linia;dzień;godzina docelowa
5002;02;190;2024-07-06;11:14:00
5002;02;190;2024-07-06;11:24:00
5002;02;190;2024-07-06;11:34:00
5002;02;190;2024-07-06;11:44:00
5002;02;190;2024-07-06;11:54:00
5002;02;190;2024-07-06;12:04:00
5002;02;190;2024-07-06;12:14:00
5002;02;190;2024-07-06;12:24:00
5002;02;190;2024-07-06;12:34:00
5002;02;190;2024-07-06;12:44:00
5002;02;190;2024-07-06;12:54:00
5002;02;190;2024-07-06;13:04:00
5002;02;190;2024-07-06;13:14:00
5002;02;190;2024-07-06;13:24:00
5002;02;190;2024-07-06;13:34:00
5002;02;190;2024-07-06;13:44:00
5002;02;190;2024-07-06;13:54:00
5002;02;190;2024-07-06;14:04:00
5002;02;190;2024-07-06;14:14:00
5002;02;190;2024-07-06;14:24:00
5002;02;190;2024-07-06;14:34:00
5002;02;190;2024-07-06;14:44:00
5002;02;190;2024-07-06;14:54:00
5002;02;190;2024-07-06;15:04:00
5002;02;190;2024-07-06;15:14:00
5002;02;190;2024-07-06;15:24:00
5002;02;190;2024-07-06;15:34:00
5002;02;190;2024-07-06;15:44:00
5002;02;190;2024-07-06;15:54:00
5002;02;190;2024-07-06;16:04:00
5002;02;190;2024-07-06;16:14:00
5002;02;190;2024-07-06;16:24:00
5002;02;190;2024-07-06;16:34:00
5002;02;190;2024-07-06;16:44:00
5002;02;190;2024-07-06;16:54:00
5002;02;190;2024-07-06;17:04:00
5002;02;190;2024-07-06;17:14:00
5002;02;190;2024-07-06;17:24:00
5002;02;190;2024-07-06;17:34:00
5002;02;190;2024-07-06;17:44:00
5002;02;190;2024-07-06;17:54:00
5002;02;190;2024-07-06;18:04:00
5002;02;190;2024-07-06;18:14:00
5002;02;190;2024-07-06;18:23:00
5002;02;190;2024-07-06;18:33:00
5002;02;190;2024-07-06;18:43:00
5002;02;190;2024-07-06;18:53:00
5002;02;190;2024-07-06;19:03:00
5002;02;190;2024-07-06;19:13:00
5002;02;190;2024-07-06;19:23:00
5002;02;190;2024-07-06;19:33:00
5002;02;190;2024-07-06;19:43:00
5002;02;190;2024-07-06;19:53:00
5002;02;190;2024-07-06;20:03:00
5002;02;190;2024-07-06;20:15:00
5002;02;190;2024-07-06;20:30:00
5002;02;190;2024-07-06;20:45:00
5002;02;190;2024-07-06;21:00:00
5002;02;190;2024-07-06;21:15:00
5002;02;190;2024-07-06;21:30:00
5002;02;190;2024-07-06;21:45:00
5002;02;190;2024-07-06;22:00:00
5002;02;190;2024-07-06;22:20:00
5002;02;190;2024-07-06;22:50:00
5002;02;190;2024-07-06;23:20:00
5002;01;190;2024-07-06;04:53:00
5002;01;190;2024-07-06;05:23:00
5002;01;190;2024-07-06;05:38:00
5002;01;190;2024-07-06;05:53:00
5002;01;190;2024-07-06;06:08:00
5002;01;190;2024-07-06;06:23:00
5002;01;190;2024-07-06;06:38:00
5002;01;190;2024-07-06;06:53:00
5002;01;190;2024-07-06;07:09:00
5002;01;190;2024-07-06;07:24:00
5002;01;190;2024-07-06;07:39:00
5002;01;190;2024-07-06;07:54:00
5002;01;190;2024-07-06;08:10:00
5002;01;190;2024-07-06;08:16:00
5002;01;190;2024-07-06;08:25:00
5002;01;190;2024-07-06;08:37:00
5002;01;190;2024-07-06;08:47:00
5002;01;190;2024-07-06;08:57:00
5002;01;190;2024-07-06;09:07:00
5002;01;190;2024-07-06;09:17:00
5002;01;190;2024-07-06;09:27:00
5002;01;190;2024-07-06;09:37:00
5002;01;190;2024-07-06;09:47:00
5002;01;190;2024-07-06;09:57:00
5002;01;190;2024-07-06;10:07:00
5002;01;190;2024-07-06;10:17:00
5002;01;190;2024-07-06;10:27:00
5002;01;190;2024-07-06;10:37:00
5002;01;190;2024-07-06;10:47:00
5002;01;190;2024-07-06;10:57:00
5002;01;190;2024-07-06;11:07:00
5002;01;190;2024-07-06;11:17:00
5002;01;190;2024-07-06;11:27:00
5002;01;190;2024-07-06;11:37:00
5002;01;190;2024-07-06;11:47:00
5002;01;190;2024-07-06;11:57:00
5002;01;190;2024-07-06;12:07:00
5002;01;190;2024-07-06;12:17:00
5002;01;190;2024-07-06;12:27:00
5002;01;190;2024-07-06;12:37:00
5002;01;190;2024-07-06;12:47:00
5002;01;190;2024-07-06;12:57:00
5002;01;190;2024-07-06;13:07:00
5002;01;190;2024-07-06;13:17:00
5002;01;190;2024-07-06;13:27:00
5002;01;190;2024-07-06;13:37:00
5002;01;190;2024-07-06;13:47:00
5002;01;190;2024-07-06;13:57:00
5002;01;190;2024-07-06;14:07:00
5002;01;190;2024-07-06;14:17:00
5002;01;190;2024-07-06;14:27:00
5002;01;190;2024-07-06;14:37:00
5002;01;190;2024-07-06;14:47:00
